Reaction,Flux
RE3630C,0
EX_cdp[e],10000
EX_citr_L[e],7500.01
EX_HC02217[e],-5000
EX_CE2916[e],10000
EX_CE4723[e],-10000
EX_CE5867[e],-10000
EX_CE5868[e],10000
EX_CE5869[e],10000
EX_crm_hs[e],9000
EX_C04849[e],-10000
INSTt4_2,0
C4DCe,0
EX_c3dc[e],0
EX_c4dc[e],-3500
FAOXC3DC,0
FAOXC4C4DCc,-3500
SUCCACT,6500
HISCAT1,7500.01
HISSNAT5tc,-10000
HISyLATthc,0
ILELAT1tc,10000
LEUPHELAT2tc,-10000
LINOFATPtc,0
OLEICFATPtc,0
XOLEST2HSTDle,0
CHOLESACATc,0
CHOLESTle,0
EX_cysam[e],6000
EX_dpcoa[e],-10000
EX_pan4p[e],10000
EX_ptth[e],-6000
GLYCTDle,-10000
MAL_Ltx,0
MDHx,0
MTHFR3,0
NADtx,0
OCDCAFATPc,0
PAN4PPe,0
PNTEHe,6000
PTPATe,-10000
RTOTAL2FATPc,0
RTOTALFATPc,0
TTDCAFATPc,0
AHCYSte,-10000
EX_ahcys[e],10000
MAL_Lte,-10000
OROTGLUt,0
BALABETAtc2,10000
CALAtr,-10000
THYMDtr2,-10000
2PGtr,1000
CHOLPtr,-699.996000000001
DCMPtr,0
DHAPtr,-10000
XMPtr,-1000.01
3PGtr,10000
IMPtr,-6999.99
EX_2pg[e],-1000
EX_cholp[e],699.996000000001
EX_dcmp[e],0
EX_hcys_L[e],-10000
EX_xmp[e],1000.01
EX_3pg[e],-10000
ARACHDFATPtc,0
CLCFTRte,-10000
EX_stcrn[e],0
LPS7e,0
GPDDACHOL,0
GLYC2P3Pc,0
LNLCCRNNAt,-3900.012
3MOXTYRt,0
AMETt,2000
C05957td,10000
C14826ATP,0
CE1554t,-10000
CE5304t,0
EX_12HPET[e],10000
EX_amet[e],2000
EX_C05957[e],10000
EX_C14826[e],0
EX_CE1554[e],-10000
EX_CE5304[e],0
EX_lnlccrn[e],0
EX_magarachi_hs[e],0
EX_mi1p_D[e],10000
EX_nwharg[e],-7500.01
EX_ttdcrn[e],-6199.996
HC00319t1,10000
LNLCCRNtd,3900.012
MI1Pt,-10000
NWHARGtd,-7500.01
OAAt,-10000
TTDCEAATP,6199.996
WHARACHDtd,-5000
EX_3moxtyr[e],0
EX_oaa[e],-10000
EX_ttdcea[e],6199.996
HOMOVALte,-5500
EX_homoval[e],0
DOPAc,0
C3DCtr,0
C4DCtr,3500
STCRNtr,0
TTDCRNtr,6199.996
MALOAtm,-1000
MLTHFtm,1000
AGPAT3,0
ARGtD,10000
HCYSte,10000
LNLCCPT2rbc,0
OROte,0
UNK3r,0
PROSTGE2t2r,-10000
DXTRNt,0
EX_dxtrn[e],0
EX_glcn[e],0
ACACt2,0
ADK1,-10000
ADNCNT3tc,-10000
ASPTA,-6500
CO2t,-1000
CPPPGO,0
CTPS1,0
CTPS2,0
DHFR,0
ENO,1000
EX_adn[e],-10000
EX_akg[e],5500
EX_asn_L[e],4500
EX_asp_L[e],0
EX_co2[e],10000
EX_dad_2[e],0
EX_fe2[e],10000
EX_fe3[e],-10000
EX_gal[e],9000
EX_h[e],1000
EX_h2o[e],-1000
EX_ile_L[e],-10000
EX_lac_L[e],-10000
EX_leu_L[e],0
EX_lys_L[e],0
EX_mal_L[e],10000
EX_met_L[e],-2000
EX_o2[e],-0.01
EX_pi[e],-7699.996
EX_pro_L[e],0
EX_ser_L[e],9000
EX_thymd[e],0
EX_val_L[e],0
FBA,0
FBP,0
FCLTc,0
FUM,5500
GALU,10000
GAPD,-10000
GHMT2r,1000
GK1,0
GLNS,0
HEX1,10000
HMBS,0
IMPD,1000.01
MTHFC,0
MTHFD,10000
NDPK1,0
NDPK2,-10000
NDPK3,-10000
O2t,2500.01
PGI,0
PGK,10000
PGM,0
PGMT,0
PIt6b,-10000
PPA,0
PUNP1,0
PUNP5,0
RNDR1,0
THMDt2r,-10000
TMDK1,0
TPI,-10000
UDPG4E,0
UMPK,10000
UPP3S,0
UPPDC1,0
r0010,5000
r0060,0
r0345,0
EX_pnto_R[e],6000
EX_gly[e],1000
EX_cys_L[e],0
EX_ala_L[e],10000
EX_his_L[e],0
EX_thr_L[e],0
EX_gln_L[e],-5500
EX_phe_L[e],0
EX_tyr_L[e],0
NTD5,0
NTD6,0
NTD7,0
NTD9,0
NTD10,0
NTD11,0
EX_arg_L[e],0
EX_nh4[e],10000
EX_ac[e],10000
ADNK1,0
CYTK1,-1000
CYTK2,0
EX_cit[e],0
EX_glyc[e],0
EX_hxan[e],0
EX_trp_L[e],0
GALK,0
GALT,-10000
GLYCt,-10000
GLYK,0
HYXNt,0
LDH_L,10000
MDH,-4500
MI3PP,0
PFK,0
PIt7,-2300.004
PYK,0
TMDS,0
r0792,0
UGLT,10000
EX_pyr[e],10000
DCMPDA,0
EX_ade[e],-10000
MTHFD2,-10000
AHC,-10000
EX_tym[e],0
3MOX4HOXMte,0
EX_3mox4hoxm[e],0
PAIL_hs_SECt,10000
DIGALSGALSIDEATPte,0
DIGALSGALSIDEt1e,0
PAIL_hs_t1e,0
MMAte,0
TYMte,0
34DHOXMANDte,0
