Reaction,Flux
STRDNCt,1241.07142857143
SUCCtp,-10000
SUCD1m,10000
SUCOAS1m,0
SUCOASm,-10000
TAGt,0
THCHOLSTOICtm,10000
THFtm,4000
THYOXt2,-10000
TMNDNCCRNt,-10000
TRDR,10000
UDPGALtg,0
UDPGD,0
UDPGP,0
UGALGTg,0
UMPK2,0
UMPK3,10000
UMPK4,1000
UMPK5,-7642.85714285714
UMPK5n,10000
UMPK6,0
UMPK6n,-10000
UNK2,0
VACCt,0
XOLEST2te,0
EX_ahdt[e],10000
EX_dha[e],-10000
EX_dhap[e],0
EX_fad[e],0
EX_HC01104[e],-6142.85714285714
EX_HC01361[e],-10000
EX_HC01446[e],-10000
EX_prpp[e],0
r0013,0
r0016,2500
r0028,0
r0047,0
r0051,0
r0055,0
r0074,0
r0083,10000
r0122,9500
r0130,0
r0165,0
r0181,0
r0202,0
r0242,-10000
r0245,0
r0249,10000
r0276,-10000
r0301,0
r0317,-10000
r0331,0
r0365,0
r0377,0
r0391,10000
r0423,10000
r0425,0
r0426,10000
r0446,0
r0474,-10000
r0475,0
r0512,10000
r0587,6142.85714285714
r0596,0
r0603,0
r0633,0
r0655,0
r0698,1982.14285714286
r0707,-10000
r0801,8500
r0819,-6500
r0826,0
r0830,3500
r0838,6000
r0840,10000
r0841,-10000
r0853,0
r0870,0
r0886,0
r0892,-6642.85714285714
r0899,0
r0915,-10000
r0917,0
r0921,0
r0941,3500
r0942,0
r0944,-10000
r0947,0
r0975,0
r1001,-10000
r1019,-1982.14285714286
r1050,0
r1078,0
r1090,0
r1096,0
r1103,0
r1105,0
r1106,0
r1109,10000
r1112,0
r1116,10000
r1159,0
r1162,0
r1185,0
r1187,0
r1188,0
r1189,0
r1190,0
r1254,1241.07142857143
r1290,2379.46428571429
r1291,10000
r1292,1982.14285714286
r1294,0
r1352,0
r1356,0
r1358,0
r1374,0
r1375,0
r1393,0
r1400,-10000
r1401,0
r1403,0
r1418,-10000
r1423,9428.57142857143
r1428,0
r1429,0
r1431,6000
r1433,6000
r1435,4000
r1441,0
r1448,0
r1464,10000
r1468,-10000
r1493,10000
r1544,-10000
r1547,-10000
r1548,-10000
r1549,-10000
r1552,6000
r1554,10000
r1556,10000
r1557,10000
r1559,-10000
r1562,4000
r1563,-10000
r1564,-10000
r1565,-10000
r1567,10000
r1568,-10000
r1569,10000
r1571,10000
r1573,-10000
r1575,2000
r1576,10000
r1579,-2000
r1581,-10000
r1583,10000
r1584,10000
r1585,-10000
r1586,10000
r1588,10000
r1589,-10000
r1590,-10000
r1592,-10000
r1593,10000
r1594,4000
r1596,-10000
r1597,-10000
r1598,-10000
r1599,-10000
r1602,-4000
r1603,-10000
r1606,10000
r1607,10000
r1608,-6000
r1610,-10000
r1611,-10000
r1613,-10000
r1615,-4000
r1616,10000
r1617,10000
r1619,-10000
r1621,-10000
r1622,-10000
r1623,-10000
r1625,10000
r1627,10000
r1628,10000
r1629,-10000
r1632,-10000
r1634,-10000
r1635,-10000
r1636,-10000
r1637,-10000
r1638,10000
r1639,-10000
r1641,-10000
r1642,-10000
r1643,10000
r1644,-10000
r1647,-10000
r1648,-10000
r1649,-10000
r1651,-10000
r1653,0
r1654,-10000
r1655,-10000
r1656,-10000
r1657,-10000
r1658,-10000
r1660,-10000
r1661,-10000
r1662,10000
r1665,-10000
r1666,10000
r1668,0
r1669,0
r1671,-10000
r2082,10000
r2083,0
r2085,-10000
r2088,-10000
r2101,-10000
r2102,0
r2110,-10000
r2111,-10000
r2119,-10000
r2120,10000
r2121,-10000
r2122,10000
r2123,-10000
r2124,-10000
r2128,-10000
r2129,0
r2131,10000
r2132,-10000
r2194,10000
r2220,0
r2285,0
r2288,0
r2308,10000
r2309,0
r2312,0
r2313,-10000
r2320,-5000
r2326,-10000
r2328,0
r2333,5000
r2334,-10000
r2371,-10000
r2372,-10000
r2374,0
r2375,-10000
r2378,-10000
r2380,-10000
r2419,2500
r2420,10000
r2433,0
r2436,0
r2438,0
r2473,10000
r2489,0
r2492,0
r2496,0
r2532,-10000
r2534,-10000
RE0124C,0
RE0569C,0
RE0570C,0
RE0571C,0
RE0583C,-1620.53571428571
RE0958E,-1000
RE1342C,0
RE1518M,0
RE1573M,-2000
RE1573X,0
RE1836C,1982.14285714286
RE2078M,-5000
RE2122C,0
RE2130C,0
RE2147C,10000
RE2426C,0
RE2625M,0
RE2658C,10000
RE2848C,-3333.33333333333
RE2912M,0
RE2998M,0
RE3238C,-10000
RE3239C,-10000
RE3251M,0
RE3270C,0
RE3273C,0
RE3273R,0
RE3301C,-10000
RE3347C,-2379.46428571429
RE3422C,-10000
EX_prostgh2[e],0
EX_citr_L[e],0
EX_HC02203[e],5000
EX_HC02217[e],-5000
EX_CE2839[e],1000
EX_CE2838[e],-1000
EX_crm_hs[e],0
CITt4_4,0
PIt8,-10000
C40CPT1,0
C4CRNCPT2,0
C4CRNe,10000
C4DCe,0
C5DCe,10000
C8DCe,0
EX_c4dc[e],-10000
FAOXC4C4DCc,-10000
SUCCACT,0
SUCCTD,-10000
GUMDCHAe,0
HISCAT1,-10000
HISSNAT5tc,-10000
HISyLATtc,0
ILELAT1tc,10000
LINOFATPtc,10000
MTHFTe,0
NACDe,10000
OLEICFATPtc,0
PALFATPtc,379.464285714286
PECTCHLe,0
TAGHSTDe,0
XOLEST2HSTDle,0
5MTHFt2le,10000
ADNK4,4000
ASPPROASCT1,0
CHOLESACATc,0
CHOLESTle,0
DHAPtc,0
DPCOAPPe,4428.57142857143
EX_4hpro[e],0
EX_dchac[e],0
EX_gum[e],0
