Reaction,Flux_Normalized
10FTHFtm,0.00836049108252413
1MNCAMti,0.000426440876906071
25HVITD3t,0.00123437659086794
25HVITD3tm,0.00123437659086794
2DR1PP,0.00964711640637012
34DHXMANDACOX_NADP_,0.00137839456054687
34HPLFM,0.00591661996037721
3AIBTm,0.00381259651115311
3AIBtmi,0.00381259651115311
3DPHBH1,0.000113674505900723
3DPHBH2,0.000116562626263407
3DSPHR,0.00166398429033066
3HBCDm,0.0376269345224138
3HLYTCL,0.00916521473918443
3MOBt2im,0.012848626649949
3MOPt2im,0.028991226696014
3MOX4HOXPGALDOX,0.0189285136941147
3MOX4HOXPGALDOX_NADP_,-0.0157610861531316
3SALAASPm,-0.0161109545430765
41R2A1H12BOOX,0.00137839456054687
4ABUTtm,0.00142424314839653
4HBZCOAFm,0.000163184551205474
4HBZFm,0.000163184551205474
4HOXPACDOX_NADP_,0.00158696232762033
4MPTNLte,0.000851609020545894
4MPTNLtm,-0.000851609020545894
5ADTSTSTERONEte,-0.0156156472218031
5ADTSTSTERONEtr,0.0156156472218031
5AOPtm,-0.0015960364780426
5MTHFt,0.0103726866115892
5MTHFt2,-0.0160368077783428
7DHCHSTEROLtr,-0.0157516578614676
A_MANASEly,0.00098620866595011
A4GALTc,0.00208120380549376
ABTArm,0.00142424314839653
ABTD,-0.0279074351517677
ABTti,0.0279074351517677
ABUTt4_2_r,-0.0311026890202184
ACACT1rm,0.0569942574734764
ACACT1x,0.0108327182082323
ACACt2m,-0.0294810971772417
ACACT8p,-0
ACACT9p,-0
ACACtx,-0.00766508569926206
ACALDtm,-0.00536411448341173
ACCOAtn,0
ACCOAtr,0.0227122605203436
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-0.000551705736571206
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.000352572913338401
ACGALK,0.00388951389231109
ACGALK2,0.00188870390086162
ACGALtly,0.0110108473860494
ACGAM6PSi,0.021003251915172
ACGAMK,0.00869990997454229
ACGAMPM,0.0204845731917328
ACGAMtly,0.0068391643383728
ACHtn,-0
ACITL,0.000889535685353641
ACNAM9PL2,0.000614637961158305
ACNAMlt,-0.00678681567730668
ACOAD1fm,0.000979682890530603
ACOAD8m,0.00691260276994471
ACOAD9m,0.00185188908442791
ACONTm,-0.0052784398531764
ACSm,0.00131581278753224
ACt2m,-0.0313730896365329
ADAe,0.00630846499143119
ADEt,0.00699996867836515
ADHAPtx,0.0207367917729691
ADK1m,0.0069852635212087
ADK3,-0.0545287333048228
ADK3m,0.00404585163040007
ADKd,0.00412077668609304
ADMDC,0.0029123013068331
ADNCYC,0.00039865008277606
ADNtm,-0.00138471361700155
ADPMAN,0.0060823299361557
ADPtx,0.00136837549849099
ADRNCOAtx,0.000963522876152042
ADRNCPT1,0.00196373384421273
ADRNCPT2,0.00196373384431015
ADRNCRNt,0.000647320060993956
ADRNt,0.00570522676289994
ADSK,0.00567101416266531
ADSL1,0.000694870973403453
AGLPC,0.00142357049489554
AGLPH,0.00142357049489554
AGPAT1,0.00365719716537274
AGTix,0.00332868817137008
AHEXASE2ly,0.00030064535456975
AHEXASEly,0.000685563311381006
AKGDm,0.0189818922740681
AKGMALtm,0.0141534643969309
ALADGLNexR,0.013223818303865
ALADGLYexR,0.011801723731248
ALAGLYexR,-0.00184147968905992
ALASm,0.0015960364780426
ALATA_L,-0.0409439059257304
ALCD21_L,0.00196704901176031
ALCD22_D,0
ALDD20xm,0.00083645509148364
ALDD21,0.00109302840556419
ALDD2xm,0.00536411448341173
ALDD2y,0.00991793790984912
ALDSTRNte,0.000910696668580702
ALDSTRNtm,-0.000910696668580702
ALOX12,0.00106003566418075
ALOX5,0.00198433131546189
ALOX52,0.0315348595293266
ALR2,0.00196704901176031
ALR3,0.00196704901176031
AMACR2p,0.00920891201962359
AMETt2m,0.000690711396582528
AMPDA,0.00825001959311489
AMPtp,-0.00136837549858858
ANTIPYRENEte,0.00406644687055933
APAT2rm,-0.00344765231547175
APRTO2,0.0010970949434504
ARACHCOAtx,0.00190364720017394
ARACHCPT1,0.00119771614092267
ARACHCPT2,0.00119771614097143
ARACHCRNt,0.000587843719569745
ARACHDCOAtx,0.0120019180022462
ARACHDt2,-0.00444397131931045
ARACHDtr,-0.00189368054567271
ARGSS,0.000967793939434793
ARSA,0.000605330083133625
R_group_phosphotase_1,0.0039927857951595
R_group_phosphotase_2,0.00592838324764355
ARTFR11,0.0142562469394749
ARTFR12,0.00652756945074846
ARTFR203,0.0131405789368286
ARTFR41,0.00406420530580194
ARTFR61,0.0336566310143449
ARTPLM1,0.0491581400904917
ARTPLM2,0.0076999489385164
ARTPLM3,0.00934161530200051
ASAH1,0.000801546131281455
ASNS1,0.000979882122594813
Asn_X_Ser_Thrtr,-0.000717889943054072
ASPTAm,-0.00931655330595561
ATP1ter,0.00132163923978853
ATP2ter,0.0222854298380862
ATPasel,0.000653419738878928
ATPH2e,0.0168369501475746
ATPtm,0.0530048900469653
B_MANNASEly,0.00098620866595011
BAAT4x,0.00713542721772097
BALAtmr,-0.00344765231547175
BDHm,-0.000752044209347168
BDMT_L,0.000717889943054072
BHBtm,-0.000752044209347168
BILGLCURt,-0.00399044513490147
BILGLCURtr,-0.000102894304582264
BILIRED,0.00501169795563261
BILIRUBt2,-0.00887356030909194
BILIRUBtr,0.000794414911688558
BUTt2m,0.00396112686265064
C161CPT1,-0.0059092372193981
C161CPT12,-0.0290460484901642
C161CPT2,-0.0104726488296962
C161CPT22,-0.00138262016297909
C161CRN2t,-0.00192821860160615
C161CRNt,-0.00502176489722474
C180CPT1,-0.00743185225354274
C180CPT2,0.0035080965066679
C180CRNt,0.00196551718910089
C181CPT1,0.0351412564821674
C181CPT2,0.00118114088874063
C181CRNt,0.000558964057354922
C204CPT1,-0.0160465540472298
C204CPT2,0.00248044784405911
C204CRNt,0.001170700726412
C226COAtx,0.00767415136227775
C226CPT1,0.00371367767299944
C226CPT2,0.00371367767304863
C226CRNt,0.00161172694130392
CAATPS,0.00137400294958737
CATm,0.0491130592890241
CATp,0.0482433305015075
CBR2,0.0103329317505727
CDIPTr,-0.00166647056681889
CDS,0.000647713753384687
CDSm,0.00227539943264833
CEPTC,0.0130847276699671
CERK,0.00731076431220604
CERT1rt,-0.0126108149676429
CERT2gt,0.000715151315375854
CERT2rt,0.000738176728280267
CHAT,-0.0286646920896306
CHATn,0
CHLPCTD,0.00152727702859365
CHOLK,0.00565311143768619
CHOLtn,0
CHOLtu,-0.0153155714853924
CHSTEROLSULT,0.00100746908708678
CHSTEROLt1,-0.0105493707342289
CHSTEROLt2,-0.000198415612806417
CHSTEROLt3,0.0017530833358459
CHSTEROLtg,0.000298915589620899
CHTNASE,0.000620248545389831
CITtam,-0.00812358298296697
CLOHtex2,0.0181985777041404
CLPNDCOAtx,-0.000679265413379807
CLPNDCPT1,0.000377905179605171
CLPNDCPT2,0.000377905179654349
CLPNDCRNt,-0.000785093486369774
CLPNDt,0.00159663574268361
CLS_hs,7.43330920751e-06
CMPACNAtg,0.0017415467386698
CMPSAS,0.0164716126105029
CO2ter,-0.000169133595295549
CO2tm,0.0207389473484109
CO2tp,-0.00944272445980984
COAtm,0.000350534979833245
COAtn,0
COAtp,-0.0252227888511729
COAtr,-0.0234487845515591
COt,0.00223767038505
COUCOAFm,0.000163184551205474
CREATt4_2_r,0.0316207562604359
CRMPte,0.00600706674388092
CRNCAR3tp,0.0171621748644668
CRNCARtp,0.0198673638875949
CRNt,-0.0176196746345897
CRNtHa,0.0271420193391645
CRNtx,-0.00558897242160439
CRTSTRNt,0.000910696668580702
CRTSTRNtm,0.000910696668580702
CRVNCtr,0.00950565233858683
CSNAT2m,-0.00567277831101159
CSNAT2x,-0.0135061850334107
CSNAT3x,0.0171621748644668
CSNATer,0.0227122605203436
CSNATp,0.0209450901211413
CSNATr,0.00794542153279907
CSPG_Ct,0.000169133595295549
CYANt,0.00690239521755416
CYANtm,0.00690239521755416
CYSGLTH,-0
CYSGLUexR,-0.00572213092720664
CYSTA,0.0155997073311989
CYStec,0.00751040894301401
CYTD,0.0057273446227845
CYTDt,-0.00601983441068381
CYTK10,-0.000487355585212613
CYTK11,0.00679403648326108
CYTK12,-0.00387557795453945
CYTK12n,0.0339816017432669
CYTK13,0.00290939386575657
CYTK13n,-0.0295753041434921
CYTK14,-0.00805701037433639
CYTK14n,0
CYTK1m,0.00227539943264833
CYTK1n,-0
CYTK2n,0
CYTK3,0.0272314685957094
CYTK4,0.0306913720508232
CYTK5,0.0044267615014894
CYTK6,-0.00330883725730316
CYTK6n,-0
CYTK7,-0.0158839258053619
CYTK8,-0.00478336923914164
CYTK9,-0.0119038308661347
DADNK,0.00140992669000743
DADNt4,0.00192773021067309
DAGK_hs,-0.0224023602952622
DAGKn_hs,-0.0132075462227667
DAGt,-0.034939693685437
DASCBR,0.0183659856234164
DCIm,-0.00145054536025206
DCK1m,-0.0312522055210427
DCK1n,0.00440629759962701
DCSPTN1COAtx,-0.00320807253378978
DCSPTN1CPT1,0.00157503843436655
